導入 (dounyuu)	 introduction; bringing in; leading in; installation​
動作 (dousa)	 action; movements; motions; bearing; behaviour; behavior; execution; actuation; operation; manners​
同等 (doutou)	 equality; equal; same rights; same rank; equivalence​
絵本 (ehon)	 picture book​
影響力 (eikyouryoku)	 influence; clout; leverage​
映像 (eizou)	 image (on a screen); picture (e.g. on a TV)​; video; film; footage​
駅前 (ekimae)	 in front of station
延長 (enchou)	 extension; elongation; prolongation; lengthening​
円形 (enkei)	 round shape; circle; circular form​
演じる (enjiru)	 to perform (a play); to play (a part); to act (a part); to commit (a blunder)​
円満 (enman)	 harmonious; peaceful; happy; amicable; smooth; free from trouble​
襟 (eri)	 collar; lapel; neckband; neck​; nape of the neck; scruff of the neck​
不安定 (fuantei)	 instability; insecurity; crankiness​
不調 (fuchou)	 bad condition; not to work out (i.e. a deal); disagreement; break-off; disorder; slump; out of form​
不動産 (fudousan)	 real estate​
不動産屋 (fudousan’ya)	 real estate agent; realtor​
不十分 (fujuubun)	 insufficient; inadequate; imperfect; shortage​
不快 (fukai)	 displeasure; discomfort; unpleasantness​; indisposition; ailment​
不可欠 (fukaketsu)	 indispensable; essential​
深まる (fukamaru)	 to deepen; to heighten; to intensify​
深める (fukameru)	 to deepen; to heighten; to intensify​
不完全 (fukanzen)	 imperfect; incomplete; faulty; defective​
不機嫌 (fukigen)	 pout; displeasure; ill humor; ill humour; sullenness
付近 (fukin)	 neighbourhood; neighborhood; vicinity; environs​
不規則 (fukisoku)	 irregularity; unsteadiness; disorderly​
副 (fuku)	 assistant; associate; vice-; sub-; deputy
含める (fukumeru)	 to include (in a group or scope)​; to include (a nuance); to put in (an implication)​
膨らます (fukuramasu)	 to swell; to expand; to inflate; to bulge​
膨らむ (fukuramu)	 to expand; to swell (out); to get big; to become inflated​
福祉 (fukushi)	 welfare; well-being; social welfare; social security; social service​
複数 (fukusuu)	 plural; multiple; several​
普及 (fukyuu)	 diffusion; spread; popularization; promulgation; familiarization​
不明 (fumei)	 unclear; obscure; indistinct; uncertain; ambiguous​; unknown; unidentified​
不明瞭 (fumeiryou)	 dimness; obscurity; indistinctness; unclear; unintelligible​
ふもと	 foot (of a mountain or hill); bottom; base
ふらふら	 unsteadily (e.g. on one’s feet); shakily; staggering; tottering; reeling; dizzily; giddily; wavering (in one’s mind); unsteadily; indecisively​
触れ合い (fureai)	 contact; connectedness; rapport; mutual touching​
触れ合う (fureau)	 to come into contact with; to touch (each other)
振り込み (furikomi)	 payment made via bank deposit transfer​
振り向く (furimuku)	 to turn one’s face; to turn around; to look over one’s shoulder​
不良品 (furyouhin)	 inferior goods; defective product; defective goods​
塞ぐ (fusagu)	 to stop up; to close up; to block (up); to plug up; to shut up; to cover (ears, eyes, etc.); to close (eyes, mouth)​; to stand in the way; to obstruct​; to occupy; to fill up; to take up​
不採用 (fusaiyou)	 rejection (of an application)​
負担 (futan)	 burden; load; responsibility​; bearing (a cost, responsibility, etc.); shouldering​
風 (fuu)	 appearance; air​
不愉快 (fuyukai)	 unpleasant; disagreeable; displeasing; uncomfortable; unhappy​
街 (gai)	 … street; … quarter; … district​
外観 (gaikan)	 outward appearance; exterior appearance; outward show; looks​
外見 (gaiken)	 outward appearance​
概要 (gaiyou)	 outline; summary; overview; abridgment; synopsis​
学費 (gakuhi)	 tuition; school expenses
学業 (gakugyou)	 studies; schoolwork; classwork​
学年 (gakunen)	 academic year; school year​
学歴 (gakureki)	 academic background​
学生課 (gakuseika)	 student affairs office​
願望 (ganbou)	 desire; wish; aspiration​
頑丈 (ganjou)	 solid; firm; stout; burly; strong; sturdy​
頑固 (ganko)	 stubborn; obstinate; pigheaded​
がらがら	 with a clatter; with a rattle​
がっしり	 firmly; solidly; sturdily; strongly; toughly
合宿 (gasshuku)	 lodging together; training camp; boarding house​
画用紙 (gayoushi)	 drawing paper
芸能 (geinou)	 public entertainment; performing arts​; accomplishments; attainments​
劇的 (gekiteki)	 dramatic; exciting; touching​; extreme
現代人 (gendaijin)	 modern person; people of today​
現時点 (genjiten)	 present point (i.e. in history); at the present time​
原稿 (genkou)	 manuscript; copy; draft; notes; contribution​
原理 (genri)	 principle; theory; fundamental truth​
原料 (genryou)	 raw materials​
原作 (gensaku)	 original work​
原産 (gensan)	 place of origin; habitat​
厳守 (genshu)	 strict observance; rigid adherence; scrupulous compliance​
原則 (gensoku)	 principle; general rule​
減速 (gensoku)	 deceleration
幻想 (gensou)	 fantasy; illusion; vision; dream​
限定 (gentei)	 limit; restriction​
現在地 (genzaichi)	 present location; current location; “you are here” (on map)​
議題 (gidai)	 topic of discussion; agenda​
疑問点 (gimonten)	 point of uncertainty; unclarified issue; doubt​
銀行員 (ginkouin)	 bank employee; bank staff member; bank clerk​
ぎりぎり	 just barely; only just; at the very limit; at the last moment
儀式 (gishiki)	 ceremony; rite; ritual; service​
ぎっしり	 tightly (packed); densely; closely; crammed​
ぎざぎざ	 notches; serration; indentation; jaggies (stair-step artifacts in computer images)​
ごちゃごちゃ	 messy; confused; chaotic; disorderly; mixed-up; jumbled up
強引 (gouin)	 overbearing; coercive; pushy; forcible; high-handed​
ぐったり	 limply; wearily; listlessly; languidly; exhaustedly; unenergetically
後日 (gojitsu)	 in the future; another day; later​
娯楽 (goraku)	 pleasure; amusement​
合同 (goudou)	 combination; union; incorporation; amalgamation; fusion
愚痴 (guchi)	 idle complaint; grumble​
ぐんぐん	 rapidly; vigorously; by leaps and bounds; steadily​
行事 (gyouji)	 event; function​
行列 (gyouretsu)	 line; queue; procession; parade​
幅広い (habahiroi)	 extensive; wide; broad​
蜂 (hachi)	 bee; wasp
蜂蜜 (hachimitsu)	 honey
鉢植え (hachiue)	 potted plant​
破片 (hahen)	 fragment; broken piece; splinter; chip; shard​
背景 (haikei)	 background; scenery; backdrop; setting; circumstance; context​; backing; support (from behind the scenes)​
廃止 (haishi)	 abolition; repeal​
墓参り (hakamairi)	 visit to a grave​
発揮 (hakki)	 show (of power, ability, etc.); exhibition; demonstration; display; manifestation​
泊 (haku)	 counter for nights of a stay​
白衣 (hakui)	 white robe; (doctor’s) white gown​
鼻水 (hanamizu)	 nasal mucus; dripping nose; snot​
話し合い (hanashiai)	 discussion; conference​
話し声 (hanashigoe)	 speaking voice; talking voice​
話し手 (hanashite)	 speaker
販売者 (hanbaisha)	 seller; vendor​
反映 (han’ei)	 reflection (light, image, situation, attitude, etc.); reflecting​; influence; application (e.g. of an update)​
半額 (hangaku)	 half the amount (of money); half price; half fare​
半減 (hangen)	 reduction by half; halving​
恥 (haji)	 shame; embarrassment; disgrace​
反感 (hankan)	 antipathy; antagonism; animosity; revulsion; ill feeling​
半日 (hannichi)	 half day
反発 (hanpatsu)	 opposition; rebellion; revolt; resistance; backlash; refusal​; rebounding; recoiling; repulsion​
張り切る (harikiru)	 to be in high spirits; to be full of vigor (vigour); to be enthusiastic; to be eager; to stretch to breaking point​
反論 (hanron)	 objection; refutation; rebuttal; counterargument​
半数 (hansuu)	 half the number
腹を立てる (hara o tateru)	 to take offense; to take offence; to get angry; to lose one’s temper
張り紙 (harigami)	 paper patch; paper backing; poster; sticker; label​​
挟む (hasamu)	 to hold between (e.g. one’s fingers, chopsticks); to grip (from both sides)​; to put between; to sandwich between; to insert; to interpose​; to insert (e.g. a break into proceedings); to interpose (e.g. an objection); to interject; to throw in (e.g. a joke)​
発散 (hassan)	 emission; emanation; radiation; diffusion; dispersion​; letting out (feelings); venting​
発想 (hassou)	 idea; conception; way of thinking
発送 (hassou)	 sending; forwarding; shipping​
働き手 (hatarakite)	 worker; breadwinner; supporter​; able person; able man; productive worker​
果たす (hatasu)	 to accomplish; to achieve; to carry out; to fulfill; to fulfil; to realize; to execute; to perform; to do​
発言 (hatsugen)	 statement; remark; observation; utterance; speech; proposal​
早口 (hayakuchi)	 fast-talking; rapid talking​
早まる (hayamaru)	 to be brought forward (e.g. by three hours); to be moved up; to be advanced​; to quicken; to speed up; to gather speed
流行り (hayari)	 fashion; fad; vogue; craze​
隔てる (hedateru)	 to separate (by distance, time, etc.); to isolate; to partition; to divide​; to interpose; to have between​; to alienate; to estrange​
平凡 (heibon)	 ordinary; common; commonplace; mediocre; unremarkable; undistinguished; uneventful​
平気 (heiki)	 coolness; calmness; composure; unconcern​
弊社 (heisha)	 our firm; our company (humble)
閉店 (heiten)	 closing up shop (for the day)​; stopping business; going out of business​
変換  (henkan)	 change; conversion; transformation​
変形 (henkei)	 transformation; variation; metamorphosis; modification; deformation; variety; deformity; monster​
返金 (henkin)	 repayment
返品 (henpin)	 returned goods; returning purchased goods​
返信 (henshin)	 reply
偏食 (henshoku)	 unbalanced diet​
編集 (henshuu)	 editing; compilation​
返送 (hensou)	 sending back; return to sender​
返答 (hentou)	 reply; answer​
非 (hi)	 (prefix) un-; non-; an-​
日当たり (hiatari)	 exposure to the sun; sunny place​
非凡 (hibon)	 extraordinary; uncommon; remarkable; unusual; rare; prodigious​
日々 (hibi)	 every day; daily; day after day; days (e.g. good old days)​
必着 (hicchaku)	 must arrive; must be received​
日帰り (higaeri)	 day trip​
日頃 (higoro)	 normally; habitually​
引き込む (hikikomu)	 to pull into; to draw in; to bring in​; to win over
引き止める (hikitomeru)	 to detain; to check; to restrain​
引き取る (hikitoru)	 to take into one’s possession; to receive; to accept; to collect; to claim​; to take (a person) into one’s care; to take custody of; to adopt​
引き続き (hikitsuzuki)	 continuously; continually; without a break​; next; then; after that​
引き渡す (hikiwatasu)	 to deliver; to extradite; to stretch across; to hand over​
引っかかる (hikkakaru)	 to be caught in; to be stuck in​; to get mixed up in (trouble); to get entangled in (a problem); to be involved with​
筆記 (hikki)	 (taking) notes; copying​; writing
非公式 (hikoushiki)	 informal; unofficial​
惹く (hiku)	 to draw (attention, sympathy, etc.); to attract (e.g. interest)​
卑怯 (hikyou)	 cowardice; meanness; unfairness​
非難 (hinan)	 criticism; blame; censure; attack; reproach​
避難 (hinan)	 taking refuge; finding shelter; evacuation; escape; seeking safe haven​
品質 (hinshitsu)	 (material) quality​
比例 (hirei)	 proportion
広場 (hiroba)	 plaza; (public) square; piazza; forum; open space
広々 (hirobiro)	 extensive; spacious​
広がり (hirogari)	 spread; span; expanse; extent​
広げる (hirogeru)	 to spread; to extend; to expand; to enlarge; to widen; to broaden; to unfold; to open; to unroll; to unwrap​
秘書 (hisho)	 (private) secretary​; treasured book; secret book​
潜む (hisomu)	 to lurk; to be hidden; to be concealed; to lie dormant; to be latent​
筆者 (hissha)	 writer; author​
ひそひそ	 in a whisper; in a low voice; in undertones
密か (hisoka)	 secret; private; surreptitious​
秘する (hisuru)	 to keep secret; to conceal​
ひたすら	 intently; single‐mindedly; devotedly; solely; earnestly; with all one’s heart
人前 (hitomae)	 presence of other people; (in) public; (in) front of others​
ひと昔 (hitomukashi)	 ages; long time; decade; the past ten years​
一人残らず (hitorinokorazu)	 everyone
必要不可欠 (hitsuyoufukaketsu)	 essential; indispensable; imperative; necessary; compelling, vital, critical​
冷やす (hiyasu)	 to cool (from room temperature); to chill; to refrigerate; to calm down; to cool off; to regain one’s composure; to relax​; to be frightened (at); to be scared (of)​
日差し (hizashi)	 sunlight; rays of the sun​
保護者 (hogosha)	 guardian; protector; patron; parent​
保育園 (hoikuen)	 nursery school; day nursery; preschool​
保育所 (hoikusho)	 nursery school; nursery​
補助 (hojo)	 assistance; support; aid; help​; subsidy; supplement; subvention; grant-in-aid​
歩行 (hokou)	 walk
本番 (honban)	 performance; take; going before an audience or on-air​; game; season; crucial moment​
本業 (hongyou)	 principal occupation; core business​
本格 (honkaku)	 original method or procedure; serious; orthodox; classical; genuine​
本日 (honjitsu)	 today
本来 (honrai)	 originally; primarily​; essentially; intrinsically; naturally; by nature; in (and of) itself​
本社 (honsha)	 head office; main office; headquarters; parent company; this company; this shrine​
本心 (honshin)	 true feelings​
保守 (hoshu)	 maintenance; conservatism; conservativeness; conservation​
補足 (hosoku)	 supplement; complement​
細長い (hosonagai)	 long and narrow​
舗装 (hosou)	 pavement; road surface​
欲する (hossuru)	 to want; to desire
包丁 (houchou)	 kitchen knife; carving knife​
報道 (houdou)	 information; report; journalism; news​
放映 (houei)	 televising; broadcasting; airing​
放課後 (houkago)	 after school​
子供たちは、放課後集まって宿題をしている。
報告書 (houkokusho)	 (written) report​
方面 (houmen)	 direction; district; area​
方針 (houshin)	 policy; plan; course; principle; objective​
表示 (hyouji)	 indication; expression; showing; manifestation; demonstration​; display; displaying
評論 (hyouron)	 criticism; critique​
表紙 (hyoushi)	 cover (of a book, magazine, etc.); binding​
異 (i)	 (prefix) different
居場所 (ibasho)	 whereabouts; place; location; place where one belongs; where one fits in; place where one can be oneself​
いちいち	 one-by-one; separately; every single; each and every; without omission; fully; in detail​
一段 (ichidan)	 more; much more; still more; all the more​
一段落 (ichidanraku)	 reaching a stopping place; settling down (before the next stage); getting to a point where one can rest; completing the first stage (of the work)​
一面 (ichimen)	 one face; one surface​; the whole surface​; one aspect; one side​; (on) the other hand​
一覧 (ichiran)	 look; glance; sight; inspection​; summary; list; table; catalog; catalogue​
一例 (ichirei)	 example; an instance​
一時休業 (ichijikyuugyou)	 temporary suspension (of business); brief shutdown
著しい (ichijirushii)	 striking; remarkable; considerable​
一助 (ichijo)	 help; assistance​
遺伝 (iden)	 heredity; (genetic) inheritance​
遺伝子 (idenshi)	 gene; genetic
意外性 (igaisei)	 unpredictability; element of surprise​
意義 (igi)	 meaning; significance​
居心地 (igokochi)	 comfort
いい加減 (iikagen)	 irresponsible; perfunctory; careless​; lukewarm; half-baked; halfhearted; vague​; reasonable; moderate
言い訳 (iiwake)	 excuse; explanation
意地悪 (ijiwaru)	 malicious; ill-tempered; unkind​
怒り (ikari)	 anger; rage; fury; wrath; indignation​
生かす (ikasu)	 to make (the best) use of; to put to good use; to leverage (skills, attributes, experience, etc.); to capitalise on (experience, etc.)​
生き生き (ikiiki)	 in a lively way; vividly; freshly; animatedly; actively; energetically​
いきなり	 abruptly; suddenly; all of a sudden; without warning
生き残る (ikinokoru)	 to survive​
息抜き (ikinuki)	 taking a breather; relaxation; vent hole​
一見 (ikken)	 look; glimpse; glance​; apparently; seemingly​
一気に (ikki ni)	 in one go; in one gulp; in one breath; without stopping; without pausing; without resting; in one sitting; at a stretch; all at once​
一向に (ikkou ni)	 completely; absolutely; totally​; (not) at all; (not) a bit; (not) in the least​; earnestly; intently; determinedly​
移行 (ikou)	 switching over to; migration; transition​
育児 (ikuji)	 childcare; child-rearing; nursing; upbringing​
育成 (ikusei)	 rearing; training; nurture; cultivation; promotion​
いまいち	 not quite (right); not very good; somewhat (lacking)​
印鑑 (inkan)	 stamp; seal​
飲料水 (inryousui)	 drinking water​
印刷物 (insatsubutsu)	 printed matter​
飲食店 (inshokuten)	 restaurant
一方的 (ippouteki)	 one-sided; unilateral; arbitrary​
入れ込む (irekomu)	 to put in; to place inside; to push into; to stuff into​; to be enthusiastic; to be engrossed​
入り替える (irikaeru)	 to replace; to substitute; to shift; to change places
衣装 (ishou)	 clothing; costume; outfit; garment; dress
急ぎ (isogi)	 haste; hurry; expedition; speed; dispatch​
一斉に (issei ni)	 simultaneously; all at once; in unison​
傷む (itamu)	 to be spoiled (e.g. food); to be damaged​
意図 (ito)	 intention; aim; design​
嫌々 (iyaiya)	 unwillingly; grudgingly; reluctantly​
意欲 (iyoku)	 will; desire; ambition; urge (e.g. creative urge)​
痛ましい (itamashii)	 pitiful; heartbreaking; heartrending; touching; tragic; sad; hurtful​
痛める (itameru)	 to hurt; to injure; to cause pain​; to harm; to damage; to spoil
一斉に (issei ni)	 simultaneously; all at once; in unison​
一色 (isshoku)	 same tendency; everyone being caught up in the same thing​; one color
移転 (iten)	 moving; relocation; change of address​; transfer (of deeds, property, etc.); demise​
一旦 (ittan)	 once; for a short time; briefly; temporarily
一定 (ittei)	 fixed; settled; constant; definite; uniform; regularized; regularised; defined; standardized; standardised; certain; prescribed​
一転 (itten)	 complete change; reversal; sudden transformation​
居酒屋 (izakaya)	 izakaya; Japanese bar that also serves various dishes and snacks​
依然 (izen)	 still; as yet; as it has been
事物 (jibutsu)	 things; affairs​
実地 (jicchi)	 practice (as opposed to theory); actual practice​; actual site; (at) the scene; (on) the spot​
自治体 (jichitai)	 municipality; local government; self-governing body; autonomous body​
児童 (jidou)	 children; juvenile​
次回 (jikai)	 next time (occasion)​
事業 (jigyou)	 project; enterprise; business; industry; operations; venture; service​
時事 (jiji)	 events of the day; current affairs​
次回 (jikai)	 next time (occasion)​
時間帯 (jikantai)	 period of time; time slot; time zone​
自覚 (jikaku)	 self-consciousness; self-awareness​
実感 (jikkan)	 real feeling; actual feeling​
実験者 (jikkensha)	 experimenter; researcher​
じっくり	 deliberately; carefully; thoroughly; without rushing​
自己 (jiko)	 self; oneself​
時給 (jikyuu)	 hourly pay; hourly wage​
地元 (jimoto)	 home area; home town​; local
人工物 (jinkoubutsu)	 artificial object; man-made object; artifact; artefact​
人工知能 (jinkouchinou)	 artificial intelligence; AI
人材 (jinzai)	 capable person; talented person​; human resources; personnel​
事例 (jirei)	 example; precedent; case​
自律 (jiritsu)	 autonomy (philosophy)​; self-control​
持参 (jisan)	 bringing; taking; carrying​
自社 (jisha)	 one’s company; company one works for​
実質 (jisshitsu)	 substance; essence​; real (in economics, vs. nominal, e.g. real interest rate); substantive; substantial; essential; tangible​
自主 (jishu)	 independence; autonomy; self-reliance​
自習 (jishuu)	 self-study; teaching oneself
実績 (jisseki)	 achievements; actual results; accomplishments; past results; track record​
実践 (jissen)	 practice; putting into practice; implementation​
実施 (jisshi)	 enforcement; implementation; putting into practice; carrying out; operation; working (e.g. working parameters); enactment​
自体 (jitai)	 itself
辞退 (jitai)	 declining; refusal; nonacceptance; turning down; withdrawal (e.g. of candidacy); pulling out (e.g. of a race); excusing oneself​
時点 (jiten)	 point in time; occasion​
事典 (jiten)	 encyclopedia; cyclopedia​
事前 (jizen)	 prior; beforehand; in advance; before the fact; ex ante
慈善 (jizen)	 charity; philanthropy​
持続 (jizoku)	 continuation; persisting; lasting; sustaining; enduring
じたばた	 (kicking and) struggling; wriggling; floundering​
序列 (joretsu)	 rank; ranking order; hierarchy​
助手席 (joshuseki)	 passenger seat; assistant driver’s seat​
上部 (joubu)	 top part; surface​
上半身 (jouhanshin)	 upper half of (one’s) body; upper body; bust
蒸発 (jouhatsu)	 evaporation; disappearance (of people intentionally concealing their whereabouts); unexplained disappearance​
上位 (joui)	 superior (in rank); top; ranking​
情景 (joukei)	 spectacle; sight; scene​
上級者 (joukyuusha)	 advanced student; advanced learner; advanced practitioner; experienced person​
常温 (jouon)	 normal temperature; room temperature​
上陸 (jouriku)	 landing; disembarkation; landfall​
乗車 (jousha)	 boarding (a train, bus, etc.); getting into (e.g. a taxi)​
上司 (joushi)	 (one’s) superior; (one’s) boss; the higher-ups​
上昇 (joushou)	 rising; ascending; climbing​
錠剤 (jouzai)	 pill; lozenge; tablet​
受動的 (judouteki)	 passive
受験生 (jukensei)	 student preparing for or taking examinations (usu. entrance exams); test-taker​
受講 (jukou)	 taking (attending) lectures​
塾 (juku)	 coaching school; cramming school; juku​
寿命 (jumyou)	 life span​
順位 (jun’i)	 order; rank; position (e.g. in a race); precedence​
循環 (junkan)	 circulation; rotation; cycle; loop​
順に (jun ni)	 in order; in turn; one by one​
順序 (junjo)	 order; sequence; procedure​
順応 (junnou)	 adaptation; accommodation; conforming; adjustment​; acclimatization
純粋 (junsui)	 pure; true; genuine; unmixed​
受診 (jushin)	 having a medical examination; seeing a doctor​
受賞 (jushou)	 winning (a prize)​
充電 (juuden)	 charging (electrically)​
充実感 (juujitsukan)	 sense of fulfillment; sense of completeness; sense of accomplishment; sense of contentment​
