
油 (abura)	 oil
離す (hanasu)	 to separate, to part

放す (hanasu)	 to release, to let go

花束 (hanataba)	 bunch of flowers, bouquet​

花屋 (hanaya)	 florist, flower shop​

羽 (hane)	 feather, down

販売 (hanbai)	 sales, selling

判断 (handan)	 judgment, decision

範囲 (han’i)	 range, scope, extent

反抗 (hankou)	 opposition, resistance

犯人 (hannin)	 offender, criminal

半年 (hantoshi)	 half year​

犯罪 (hanzai)	 crime, offense

発表 (happyou)	 announcement

腹 (hara)	 abdomen, stomach

原 (hara)	 field, plain

針 (hari)	 needle, pin

鋏 (hasami)	 scissors

破産 (hasan)	 bankruptcy

端 (hashi)	 end, edge

発車 (hassha)	 departure of a vehicle

発生 (hassei)	 outbreak, occurrence

旗 (hata)	 flag

畑 (hatake)	 field

働き (hataraki)	 work, labor

発達 (hattatsu)	 development, growth

発展 (hatten)	 development, growth

発売 (hatsubai)	 sale, launch (product)​

発明 (hatsumei)	 invention

早めに (hayame ni)	 ahead of time

外す (hazusu)	 to undo, to remove

塀 (hei)	 wall, fence

平方メートル (heihou meetoru)	 square meter​

平日 (heijitsu)	 weekday, ordinary days

平均 (heikin)	 average, mean

平和 (heiwa)	 peace, harmony

変化 (henka)	 change, alteration

変更 (henkou)	 change, modification

返却 (henkyaku)	 return of something, repayment​

減らす (herasu)	 to abate, to decrease

減る (heru)	 to decrease, to diminish

費 (hi)	 cost, expense​

冷える (hieru)	 to grow cold, to get chilly

被害 (higai)	 (suffering) damage, harm

悲劇 (higeki)	 tragedy

批判 (hihan)	 criticism, judgment

批評 (hihyou)	 criticism, review

非常 (hijou)	 emergency, extraordinary

比較 (hikaku)	 comparison

引き受ける (hikiukeru)	 to undertake, to accept

飛行 (hikou)	 aviation, flight

轢く (hiku)	 to run over (with a vehicle)

秘密 (himitsu)	 secret, secrecy

紐 (himo)	 string, cord

引っ張る (hipparu)	 to pull, to draw

広がる (hirogaru)	 to spread out, to extend

昼寝 (hirune)	 nap (afternoon), siesta​

必死 (hisshi)	 frantic, desperate

額 (hitai)	 forehead, brow

否定 (hitei)	 negation, denial

人々 (hitobito)	 people; men and women

人込み (hitogomi)	 crowd of people

一言 (hitokoto)	 single word, a few words

一人暮らし (hitorigurashi)	 living by oneself, living alone​

等しい (hitoshii)	 equal

費用 (hiyou)	 cost, expense

膝 (hiza)	 knee, lap

日付 (hizuke)	 date

略 (hobo)	 almost, roughly

歩道 (hodou)	 footpath, walkway

吠える (hoeru)	 to bark, to howl

微笑む (hohoemu)	 to smile

誇り (hokori)	 pride, boast

埃 (hokori)	 dust

歩行者 (hokousha)	 pedestrian, walker​

骨 (hone)	 bone

本気 (honki)	 seriousness, earnestness, truth

本物 (honmono)	 genuine article

本人 (honnin)	 the person himself

炎 (honoo)	 flame, blaze

本屋 (hon’ya)	 bookstore, bookshop​

頬 (hoo)	 cheek (of face)

掘る (horu)	 to dig, to excavate

保証 (hoshou)	 guarantee, security

干す (hosu)	 to dry, to drink up

ほっと	 with a feeling of relief

保存 (hozon)	 preservation, conservation

方 (hou)	 direction, way, side

法 (hou)	 law, act, principle

放題 (houdai)	 to one’s heart’s content

豊富 (houfu)	 abundance, wealth

方法 (houhou)	 method, way, manner

報告 (houkoku)	 report, information

方向 (houkou)	 direction, way

訪問 (houmon)	 call, visit

宝石 (houseki)	 gem, jewel

放送 (housou)	 broadcast, broadcasting

表 (hyou)	 table, chart, list

評判 (hyouban)	 fame, reputation

表現 (hyougen)	 expression, representation

表情 (hyoujou)	 facial expression

評価 (hyouka)	 valuation, estimation

表面 (hyoumen)	 surface, face

胃 (i)	 stomach

一致 (icchi)	 match, agreement

位置 (ichi)	 place, position

市場 (ichiba)	 market, the market place

一部 (ichibu)	 one part, one portion

一度に (ichido ni)	 all at once

一時 (ichiji)	 time, moment

一応 (ichiou)	 just in case​, pretty much

一流 (ichiryuu)	 first-class, top grade

偉大 (idai)	 greatness

抱く (idaku)	 to embrace

移動 (idou)	 movement, transfer

衣服 (ifuku)	 clothes

意外 (igai)	 unexpected, surprising

違反 (ihan)	 violence, offense

委員 (iin)	 committee member

維持 (iji)	 maintenance, preservation

異常 (ijou)	 strangeness, abnormality

一家 (ikka)	 a house, a home

息 (iki)	 breath

生き物 (ikimono)	 living thing, animal

勢い (ikioi)	 force, vigor, energy

以降 (ikou)	 hereafter, since

居間 (ima)	 living room

今に (ima ni)	 before long, even now

今にも (ima ni mo)	 at any time, soon

稲 (ine)	 rice-plant

居眠り (inemuri)	 nodding off, dozing

命 (inochi)	 life, life force

飲料 (inryou)	 beverage, drink​

印刷 (insatsu)	 printing

飲食 (inshoku)	 food and drink, eating and drinking​

印象 (inshou)	 impression

引退 (intai)	 retire

引用 (in’you)	 quotation, citation

一般 (ippan)	 general, universal

一方 (ippou)	 one way, the other way

以来 (irai)	 since, henceforth

依頼 (irai)	 request, commission

苛々 (iraira)	 getting nervous, irritation

衣類 (irui)	 clothes, garments​

医療 (iryou)	 medical care

医師 (ishi)	 doctor, physician

意思 (ishi)	 intention, purpose

意志 (ishi)	 will, volition

意識 (ishiki)	 consciousness

一生 (isshou)	 whole life, a lifetime

一種 (isshu)	 species, kind

一瞬 (isshun)	 instant, moment

一層 (issou)	 much more, still more

板 (ita)	 board, plank

痛み (itami)	 pain, ache, soreness

痛む (itamu)	 to hurt

至る (itaru)	 to arrive at, to reach

悪戯 (itazura)	 mischief, prank

従兄弟 (itoko)	 cousin

一体 (ittai)	 what on earth…

いつの間にか (itsunomanika)	 before one knows

岩 (iwa)	 rock

言わば (iwaba)	 so to speak

祝う (iwau)	 to congratulate, to celebrate

嫌がる (iyagaru)	 to hate, to dislike​

以前 (izen)	 ago, since, before

泉 (izumi)	 spring, fountain

自動 (jidou)	 automatic

自動販売機 (jidouhanbaiki)	 vending machine​

自動車 (jidousha)	 automobile

事実 (jijitsu)	 fact, truth, reality

事情 (jijou)	 circumstances

直に (jika ni)	 directly, in person

事件 (jiken)	 event, affair, accident

時期 (jiki)	 time, season, period

実家 (jikka)	 (one’s parents’) home​

実験 (jikken)	 experiment

実行 (jikkou)	 execution, practice

時刻 (jikoku)	 instant, time, moment

自慢 (jiman)	 pride, boast

地面 (jimen)	 ground; earth’s surface​

事務 (jimu)	 business, office work

事務室 (jimushitsu)	 office (room)​

人物 (jinbutsu)	 person, character, figure

人工 (jinkou)	 artificial, man-made

人類 (jinrui)	 mankind, humanity

生 (jinsei)	 life

人種 (jinshu)	 race (of people), type of person

時差 (jisa)	 time difference​

自殺 (jisatsu)	 suicide

自身 (jishin)	 by oneself, personally

自信 (jishin)	 self-confidence

実際 (jissai)	 practical, reality

実施 (jisshi)	 enforcement, implementation

実習 (jisshuu)	 practice (in the field)

事態 (jitai)	 situation

自宅 (jitaku)	 one’s home, one’s house​

実現 (jitsugen)	 implementation

実力 (jitsuryoku)	 (real) ability, true strength

実は (jitsu wa)	 as a matter of fact

実用 (jitsuyou)	 practical use, utility​

徐々 (jojo)	 gradually, steadily

女子 (joshi)	 woman, girl

助手 (joshu)	 helper, assistant

女王 (joou)	 queen

丈夫 (joubu)	 healthy, robust, strong

冗談 (joudan)	 jest, joke

上下 (jouge)	 up and down​, top and bottom

上品 (jouhin)	 elegant, polished​

情報 (jouhou)	 information, news

条件 (jouken)	 conditions, terms

上空 (joukuu)	 sky, upper air

乗客 (joukyaku)	 passenger

上京 (joukyou)	 proceeding to the capital (Tokyo)

状況 (joukyou)	 state of affairs

常識 (joushiki)	 common sense

状態 (joutai)	 condition, situation

上達 (joutatsu)	 improvement, advance

上等 (joutou)	 superiority, first-class

女優 (joyuu)	 actress

受験 (juken)	 taking an examination

順 (jun)	 order, turn

順番 (junban)	 turn, order of things

順調 (junchou)	 favorable, doing well

銃 (juu)	 gun, rifle

重大 (juudai)	 serious, important

柔道 (juudou)	 judo

住民 (juumin)	 citizens, inhabitants

重視 (juushi)	 importance, stress

渋滞 (juutai)	 congestion, stagnation

住宅 (juutaku)	 residence, housing

重要 (juuyou)	 important, essential

需要 (juyou)	 demand, request

株 (kabu)	 stock, share

被る (kaburu)	 to put on (one’s head)

勝ち (kachi)	 win, victory

価値 (kachi)	 value, worth

替える (kaeru)	 to replace, to exchange

会 (kai)	 meeting, assembly

回 (kai)	 counter for occurrences

回復 (kaifuku)	 recovery

絵画 (kaiga)	 picture, painting

会合 (kaigou)	 meeting, assembly

海外 (kaigai)	 foreign, abroad

会員 (kaiin)	 member

会計 (kaikei)	 account, finance

改札 (kaisatsu)	 ticket gate, ticket barrier​

解決 (kaiketsu)	 settlement, solution

快晴 (kaisei)	 clear weather, cloudless weather

会社員 (kaishain)	 company employee​

解釈 (kaishaku)	 explanation, interpretation

開始 (kaishi)	 start, beginning

回収 (kaishuu)	 collection, retrieval

回数 (kaisuu)	 number of times, frequency

快適 (kaiteki)	 pleasant, comfortable

改善 (kaizen)	 improvement

化学 (kagaku)	 chemistry

輝く (kagayaku)	 to shine, to glitter

影 (kage)	 shadow

加減 (kagen)	 adjustment, degree, extent

鍵 (kagi)	 key

限る (kagiru)	 to restrict, to limit

籠 (kago)	 basket, cage

家具 (kagu)	 furniture

家事 (kaji)	 housework

抱える (kakaeru)	 to hold in the arms

価格 (kakaku)	 price, value, cost

かかる	 to suffer from

関わる (kakawaru)	 to be concerned with, to have to do with

欠ける (kakeru)	 to be lacking

書き直す (kakinaosu)	 to write out, to rewrite

活気 (kakki)	 energy, liveliness

過去 (kako)	 the past, bygone days

囲む (kakomu)	 to surround, to encircle

各地 (kakuchi)	 every place, various places​

拡大 (kakudai)	 magnification

覚悟 (kakugo)	 resolution, readiness

確実 (kakujitsu)	 certainty, reliability

確認 (kakunin)	 confirmation, verification

隠れる (kakureru)	 to hide, to be hidden

隠す (kakusu)	 to hide, to conceal

我慢 (gaman)	 patience, endurance

構う (kamau)	 to mind, to care about

神 (kami)	 God, deity

上 (kami)	 person of high rank, government

雷 (kaminari)	 lightning, thunder

髪の毛 (kami no ke)	 hair (head)

科目 (kamoku)	 school subject

缶 (kan)	 can, tin

管 (kan)	 pipe, tube

勘 (kan)	 perception, intuition

看板 (kanban)	 signboard, billboard

必ずしも (kanarazushimo)	 not always

可也 (kanari)	 considerably, fairly

悲しむ (kanashimu)	 to be sad, to mourn for

感動 (kandou)	 feeling deeply moved emotionally

考え (kangae)	 thinking, thought, view

歓迎 (kangei)	 welcome, reception

感激 (kangeki)	 deep emotion, impression

患者 (kanja)	 patient

感じ (kanji)	 feeling, sense

感じる (kanjiru)	 to feel, to sense

勘定 (kanjou)	 calculation, counting

感情 (kanjou)	 emotion, feeling

感覚 (kankaku)	 sense, sensation, feeling

間隔 (kankaku)	 space, interval​

観光 (kankou)	 sightseeing

観光客 (kankoukyaku)	 tourist

観客 (kankyaku)	 audience, spectator

環境 (kankyou)	 environment

可能 (kanou)	 potential, possible

管理人 (kanrinin)	 administrator, manager

観察 (kansatsu)	 observation

感謝 (kansha)	 thanks, gratitude

感想 (kansou)	 impressions, thoughts

乾燥 (kansou)	 drying (e.g. clothes), dryness

香り (kaori)	 fragrance

空 (kara)	 emptiness, vacuum, blank

彼ら (karera)	 they (usually male)

枯れる (kareru)	 to wither (of a plant)

刈る (karu)	 to cut (hair), to mow (grass)

火災 (kasai)	 conflagration, fire

重ねる (kasaneru)	 to pile up, to heap up

稼ぐ (kasegu)	 to earn income

完成 (kansei)	 complete, completion

貸出 (kashidashi)	 lending, loaning

賢い (kashikoi)	 wise, clever, smart

感心 (kanshin)	 admiration

関心 (kanshin)	 concern, interest

関連 (kanren)	 relation, connection

管理 (kanri)	 control, management

完了 (kanryou)	 completion, conclusion

関する (kansuru)	 to concern, to be related

監督 (kantoku)	 supervision

歌手 (kashu)	 singer

型 (kata)	 model, type

肩 (kata)	 shoulder

方々 (katagata)	 they (people), you (plural)

片方 (katahou)	 one of a pair, one side

固まる (katamaru)	 to harden, to solidify​

刀 (katana)	 sword, katana

語り合う (katariau)	 to talk together

語る (kataru)	 to talk about

仮定 (katei)	 assumption, hypothesis

動 (katsudou)	 action, activity

活用 (katsuyou)	 practical use

勝手 (katte)	 one’s own convenience, selfish

飼う (kau)	 to keep (a pet)

皮 (kawa)	 skin, pelt

革 (kawa)	 leather

可愛らしい (kawairashii)	 lovely, sweet

可哀そう (kawaisou)	 poor, pitiable

川沿い (kawazoi)	 along the river, riverside

完全 (kanzen)	 perfection, completeness

飾り (kazari)	 decoration

数える (kazoeru)	 to count

数 (kazu)	 number

けち	 stinginess, cheapskate

経営 (keiei)	 management

敬意 (keii)	 respect, honor

掲示 (keiji)	 notice, bulletin

刑事 (keji)	 police detective, criminal matter

掲示板 (keijiban)	 bulletin board, notice board

景気 (keiki)	 business condition

警告 (keikoku)	 warning, advice

傾向 (keikou)	 tendency, trend

計算 (keisan)	 calculation, reckoning

契約 (keiyaku)	 contract, agreement

経由 (keiyu)	 through, via

結果 (kekka)	 result, consequence

欠陥 (kekkan)	 defect, fault

結局 (kekkyoku)	 after all, eventually

煙 (kemuri)	 smoke, fumes

券 (ken)	 ticket, coupon

県 (ken)	 prefecture (of Japan)

建築 (kenchiku)	 construction, architecture

見学 (kengaku)	 inspection, field trip

見解 (kenkai)	 opinion, point of view

健康 (kenkou)	 health

研究者 (kenkyuusha)	 researcher

研究所 (kenkyuusho)	 research institute, laboratory​

憲法 (kenpou)	 constitution

権利 (kenri)	 right, privilege

検査 (kensa)	 inspection, examination

建設 (kensetsu)	 construction

見当 (kentou)	 aim, mark, direction

検討 (kentou)	 consideration, examination

欠席 (kesseki)	 absence

決心 (kesshin)	 determination, resolution

化粧 (keshou)	 make-up, cosmetics

決定 (kettei)	 decision, determination

欠点 (ketten)	 weak point, weakness

血圧 (ketsuatsu)	 blood pressure​

血液 (ketsueki)	 blood

血液型 (ketsuekigata)	 blood type

結論 (ketsuron)	 conclusion

気に入る (ki ni iru)	 to be pleased with

気の毒 (ki no doku)	 pitiful, unfortunate

希望 (kibou)	 hope, wish

希望者 (kibousha)	 applicant, candidate

きちんと (kichinto)	 precisely, accurately

貴重 (kichou)	 precious, valuable

寄付 (kifu)	 contribution, donation

機嫌 (kigen)	 humor, temper, mood

期限 (kigen)	 time limit, deadline

企業 (kigyou)	 enterprise, undertaking

基本 (kihon)	 foundation, basis

生地 (kiji)	 cloth, fabric

記事 (kiji)	 article, news story

機械 (kikai)	 machine, mechanism

期間 (kikan)	 period, term

機関 (kikan)	 engine, agency, organization

帰国 (kikoku)	 return to one’s country​

気候 (kikou)	 climate

効く (kiku)	 to be effective

決まり (kimari)	 rule, settlement

気味 (kimi)	 sensation, feeling

金 (kin)	 gold

緊張 (kinchou)	 tension, nervousness

近代 (kindai)	 present day

禁煙 (kin’en)	 no smoking

記念品 (kinenhin)	 souvenir, memento​

金額 (kingaku)	 amount of money

気になる (ki ni naru)	 to bother one, to worry about

気にする (ki ni suru)	 to mind, to care about

金庫 (kinko)	 safe, vault

筋肉 (kinniku)	 muscle

金銭 (kinsen)	 money, cash

禁止 (kinshi)	 prohibition, ban

金属 (kinzoku)	 metal

奇妙 (kimyou)	 strange, queer

記念 (kinen)	 commemoration

機能 (kinou)	 function

記入 (kinyuu)	 entry, filling in forms

金融 (kin’yuu)	 financing, money circulation

記憶 (kioku)	 memory, recollection

気温 (kion)	 atmospheric temperature

霧 (kiri)	 fog, mist

切れ (kire)	 piece, slide

切れる (kireru)	 to break, to snap

記録 (kiroku)	 record, document

記者 (kisha)	 reporter

岸 (kishi)	 bank, coast, shore

基礎 (kiso)	 foundation, basis​

期待 (kitai)	 expectation, hope

帰宅 (kitaku)	 returning home

